100535,ETEC_2,4E,I1
100546,ETEC_1,4E,I2
100568,ETEC_1,4E,J4
100606,ETEC_1,5A,B5
100614,ETEC_1,5A,B8
100616,ETEC_1,5A,C1
100630,ETEC_1,5A,C4
100691,ETEC_3,5B,A9
100798,ETEC_1,5B,I3
100802,ETEC_1,5B,I6
102165,ETEC_2,12A,G3
103143,ETEC_3,14C,A7
103324,ETEC_2,12B,A9
103397,ETEC_1,12B,C6
103403,ETEC_1,12B,D2
103472,ETEC_1,13E,D9
103485,ETEC_2,13E,E4
103507,ETEC_1,13E,F7
103519,ETEC_1,13E,G2
103520,ETEC_1,13E,G3
103533,ETEC_1,13E,G8
103539,ETEC_1,13E,H1
103540,ETEC_1,13E,H2
103558,ETEC_1,13E,I3
103572,ETEC_1,13E,I6
103596,ETEC_1,13E,J8
103597,ETEC_1,14A,A2
103607,ETEC_1,14A,A6
103630,ETEC_3,14A,B4
103633,ETEC_1,14A,B5
103634,ETEC_1,14A,B8
103676,ETEC_1,14A,D3
200034,ETEC_1,54,I7
201291,ETEC_1,55,F6
201469,ETEC_2,10D,E10
202068,ETEC_2,10D,H7
202222,ETEC_1,10D,J2
202624,ETEC_2,13E,A2
202656,ETEC_3,10E,G7
202667,ETEC_2,10E,G9
202755,ETEC_2,13E,C9
202756,ETEC_1,13D,J6
202917,ETEC_3,11A,B9
202982,ETEC_3,13E,A9
203010,ETEC_1,11A,E4
203039,ETEC_3,11A,F5
203048,ETEC_1,11A,F6
203068,ETEC_3,13E,B4
203073,ETEC_1,13E,B5
203083,ETEC_2,11A,H4
203377,ETEC_1,11B,C8
203445,ETEC_3,11B,E5
203642,ETEC_1,11B,J4
203686,ETEC_1,11C,A3
203961,ETEC_1,11C,G3
204069,ETEC_1,11D,B6
204171,ETEC_1,13D,B1
204329,ETEC_2,13D,C5
204407,ETEC_3,13D,D4
204513,ETEC_1,13D,E7
204521,ETEC_1,162,B3
204538,ETEC_2,13D,H3
204687,ETEC_1,157,I4
302269,ETEC_1,9E,D5
302574,ETEC_2,9D,I4
302616,ETEC_1,9D,A8
302629,ETEC_1,9E,D2
302846,ETEC_1,9D,I6
302940,ETEC_1,12D,G3
302949,ETEC_1,12E,D6
302950,ETEC_1,12D,J9
302975,ETEC_1,12D,F7
302979,ETEC_1,12D,F10
302981,ETEC_2,12E,G1
303020,ETEC_1,12E,B2
303036,ETEC_1,13C,G5
303044,ETEC_1,12D,I7
303254,ETEC_1,13C,I9
303296,ETEC_1,13C,H1
401413,ETEC_1,15A,D9
401655,ETEC_1,_2C,A6
403273,ETEC_2,11D,H5
403320,ETEC_2,11E,H10
403590,ETEC_3,14E,A6
403657,ETEC_1,14E,B5
403660,ETEC_1,14E,B9
403669,ETEC_2,14E,C8
403708,ETEC_1,14E,C10
403722,ETEC_1,14E,E8
403739,ETEC_3,14E,G10
403769,ETEC_1,15A,A4
403808,ETEC_2,14E,G1
403824,ETEC_2,14E,I4
403855,ETEC_1,14E,H1
403925,ETEC_1,15A,A1
403970,ETEC_1,15A,B3
504904,ETEC_1,10B,E4
504948,ETEC_1,10B,G2
504957,ETEC_2,10B,G9
505368,ETEC_3,10C,D1
505377,ETEC_3,10C,D4
505759,ETEC_1,13B,C10
505966,ETEC_1,13B,F7
505972,ETEC_1,13B,F4
600298,ETEC_2,12E,G4
600628,ETEC_1,12E,G9
603762,ETEC_1,10A,A2
603767,ETEC_3,10A,A10
603799,ETEC_1,10A,B4
603837,ETEC_1,10A,B10
604048,ETEC_3,12E,J8
604063,ETEC_3,13A,A2
604077,ETEC_1,13A,A3
604284,ETEC_1,13A,F10
604342,ETEC_1,13A,H5
604488,ETEC_1,13A,I4
703136,ETEC_1,12B,J10
703196,ETEC_3,12C,A9
703482,ETEC_1,12C,E9
703484,ETEC_1,12C,F2
703560,ETEC_1,12C,J4
703601,ETEC_1,12D,A10
